best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.3982,0.4587,0.4250048100948334,97,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_13.pt,train_linear
1.0,1.0,0.6890590786933899,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_14.pt,train_linear
0.7525,0.7534,0.5968594551086426,11,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_15.pt,train_linear
0.3129,0.4463,0.450187087059021,46,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_16.pt,train_linear
0.5921,0.6144,0.4903130829334259,30,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_17.pt,train_linear
0.4016,0.6712,0.6895782947540283,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_18.pt,train_linear
0.3442,0.5039,0.39333057403564453,75,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_19.pt,train_linear
0.5395,0.6369,0.38738498091697693,85,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_20.pt,train_linear
0.5371,0.6377,0.40103137493133545,97,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_21.pt,train_linear
0.5768,0.758,0.4486236572265625,44,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_22.pt,train_linear
0.4708,0.8898,0.6893682479858398,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_23.pt,train_linear
0.7359,0.786,0.49563631415367126,29,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_24.pt,train_linear
