best_f1,best_acc,best_loss,best_epoch,best_path
0.4301,0.702,0.6887534856796265,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,
0.4108,0.6972,0.6842517256736755,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,
0.4682,0.7248,0.5120247602462769,92,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,
0.5102,0.7318,0.4843299388885498,99,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,
0.5477,0.7501,0.48521220684051514,83,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,
0.4108,0.6972,0.6867130398750305,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,
1.0,1.0,0.5093826055526733,67,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,

0.6486,0.6655,0.281509131193161,5,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,train_linear
0.4498,0.5964,0.09535682201385498,41,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,train_linear
0.9265,0.9374,0.5600534081459045,3,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,train_linear
0.761,0.8392,0.8769245147705078,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,train_linear
0.5726,0.6831,0.7030865550041199,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,train_linear
0.6975,0.789,0.3859957754611969,4,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,train_linear
0.9761,0.9791,0.28007158637046814,12,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,train_linear
0.843,0.8526,0.39069730043411255,6,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,train_linear
0.8566,0.8876,0.961711585521698,1,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,train_linear
0.9981,0.9984,0.37112998962402344,6,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,train_linear
0.9886,0.9906,0.3674715459346771,7,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,train_linear
0.742,0.8256,1.2827625274658203,0,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,train_linear
0.8144,0.8421,0.05746496468782425,73,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,train_linear
0.9096,0.927,0.2999423146247864,7,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,train_linear
0.9971,0.9975,0.3670695722103119,6,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,train_linear

\\sued
0.7653,0.7711,0.05421409010887146,22,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,fine_tune
0.5719,0.6665,0.009876351803541183,41,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,fine_tune
0.8315,0.8532,0.2364918291568756,5,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,fine_tune
0.8485,0.889,0.3792034387588501,3,./save/BYOL/byol_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,fine_tune
